edit_id,server-name
DELEUM/DPSB.KL.RECRUITMENT,deleumHQ_SSO
DELEUM/DPSB.MARINE,deleumHQ_SSO
DELEUM/DPSBFINANCE,deleumHQ_SSO
DELEUM/DRSSB.ADMIN,deleumHQ_SSO
DELEUM/DRSSB.FINANCE,deleumHQ_SSO
DELEUM/DRSSB.HR,deleumHQ_SSO
DELEUM/DRSSB.ICT,deleumHQ_SSO
DELEUM/DRSSB.KAJANG.RECRUITMENT,deleumHQ_SSO
DELEUM/DRSSB.OPERATION,deleumHQ_SSO
DELEUM/DRSSB.PROCUREMENT,deleumHQ_SSO
DELEUM/DRSSB.PROJECT,deleumHQ_SSO
DELEUM/DRSSB.QHSE,deleumHQ_SSO
DELEUM/DRSSB.SALES,deleumHQ_SSO
DELEUM/DSRC.COMMITTEE,deleumHQ_SSO
DELEUM/DSSB.RECRUITMENT,deleumHQ_SSO
DELEUM/ENTERPRISE ADMINS,deleumHQ_SSO
DELEUM/ENTERPRISE KEY ADMINS,deleumHQ_SSO
DELEUM/ENTERPRISE READ-ONLY DOMAIN CONTROLLERS,deleumHQ_SSO
DELEUM/EVENT LOG READERS,deleumHQ_SSO
DELEUM/EXACT,deleumHQ_SSO
DELEUM/EXACT.BACKUP,deleumHQ_SSO
DELEUM/EXACT.REPORT,deleumHQ_SSO
DELEUM/EXACT.USERS,deleumHQ_SSO
DELEUM/FINANCE,deleumHQ_SSO
DELEUM/FINANCE TURBO,deleumHQ_SSO
DELEUM/GL,deleumHQ_SSO
DELEUM/GROUP POLICY CREATOR OWNERS,deleumHQ_SSO
DELEUM/GST,deleumHQ_SSO
DELEUM/GST.DPSB,deleumHQ_SSO
DELEUM/GST.DRSSB,deleumHQ_SSO
DELEUM/GUESTS,deleumHQ_SSO
DELEUM/HELPLIBRARYUPDATERS,deleumHQ_SSO
DELEUM/HR,deleumHQ_SSO
DELEUM/HR PAYROLL,deleumHQ_SSO
DELEUM/HYPER-V ADMINISTRATORS,deleumHQ_SSO
DELEUM/ICT,deleumHQ_SSO
DELEUM/IIS_IUSRS,deleumHQ_SSO
DELEUM/INCOMING FOREST TRUST BUILDERS,deleumHQ_SSO
DELEUM/IPG,deleumHQ_SSO
DELEUM/ISO,deleumHQ_SSO
DELEUM/KEY ADMINS,deleumHQ_SSO
DELEUM/KLADMINS,deleumHQ_SSO
DELEUM/KLOPERATORS,deleumHQ_SSO
DELEUM/KL_AKB5DB79021DAD7CD,deleumHQ_SSO
DELEUM/LEGAL,deleumHQ_SSO
DELEUM/LOCALADMIN,deleumHQ_SSO
DELEUM/MCM,deleumHQ_SSO
DELEUM/MCM.HR,deleumHQ_SSO
DELEUM/MCM.HSE,deleumHQ_SSO
DELEUM/MCM.LIB,deleumHQ_SSO
DELEUM/MCM.MANP,deleumHQ_SSO
DELEUM/MCM.MNGT,deleumHQ_SSO
DELEUM/MCM.OP,deleumHQ_SSO
DELEUM/MCM.PROC,deleumHQ_SSO
DELEUM/MCM.QAQC,deleumHQ_SSO
DELEUM/MCM.TC,deleumHQ_SSO
DELEUM/MCM.WH,deleumHQ_SSO
DELEUM/MSOL_AD_SYNC_RICHCOEXISTENCE,deleumHQ_SSO
DELEUM/NETWORK CONFIGURATION OPERATORS,deleumHQ_SSO
DELEUM/OIL&GAS,deleumHQ_SSO
DELEUM/P&M,deleumHQ_SSO
DELEUM/PERFORMANCE LOG USERS,deleumHQ_SSO
DELEUM/PERFORMANCE MONITOR USERS,deleumHQ_SSO
DELEUM/PRE-WINDOWS 2000 COMPATIBLE ACCESS,deleumHQ_SSO
DELEUM/PRINT OPERATORS,deleumHQ_SSO
DELEUM/PROCUREMENT,deleumHQ_SSO
DELEUM/PROJECT SALES,deleumHQ_SSO
DELEUM/PROTECTED USERS,deleumHQ_SSO
DELEUM/PSI,deleumHQ_SSO
DELEUM/QHSE,deleumHQ_SSO
DELEUM/RAS AND IAS SERVERS,deleumHQ_SSO
DELEUM/RDS ENDPOINT SERVERS,deleumHQ_SSO
DELEUM/RDS MANAGEMENT SERVERS,deleumHQ_SSO
DELEUM/RDS REMOTE ACCESS SERVERS,deleumHQ_SSO
DELEUM/READ-ONLY DOMAIN CONTROLLERS,deleumHQ_SSO
DELEUM/REMOTE DESKTOP USERS,deleumHQ_SSO
DELEUM/REMOTE MANAGEMENT USERS,deleumHQ_SSO
DELEUM/REPLICATOR,deleumHQ_SSO
DELEUM/RISK,deleumHQ_SSO
DELEUM/ROTARY,deleumHQ_SSO
DELEUM/SCHEMA ADMINS,deleumHQ_SSO
DELEUM/SECRETARIAL,deleumHQ_SSO
DELEUM/SERVER OPERATORS,deleumHQ_SSO
DELEUM/SQLSERVER2005MSFTEUSER$DC2$MICROSOFT##SSEE,deleumHQ_SSO
DELEUM/SQLSERVER2005MSSQLSERVERADHELPERUSER$DC2,deleumHQ_SSO
DELEUM/SQLSERVER2005MSSQLSERVERADHELPERUSER$ROTARYDC,deleumHQ_SSO
DELEUM/SQLSERVER2005MSSQLUSER$DC2$ACRONIS,deleumHQ_SSO
DELEUM/SQLSERVER2005MSSQLUSER$DC2$MICROSOFT##SSEE,deleumHQ_SSO
DELEUM/SQLSERVER2005MSSQLUSER$ROTARYDC$SQLEXPRESS,deleumHQ_SSO
DELEUM/SQLSERVER2005SQLBROWSERUSER$DC2,deleumHQ_SSO
DELEUM/SQLSERVER2005SQLBROWSERUSER$DRSSBKJG,deleumHQ_SSO
DELEUM/SQLSERVER2005SQLBROWSERUSER$ROTARYDC,deleumHQ_SSO
DELEUM/SYSTEM MANAGED ACCOUNTS GROUP,deleumHQ_SSO
DELEUM/T&C PIC,deleumHQ_SSO
DELEUM/TERMINAL SERVER LICENSE SERVERS,deleumHQ_SSO
DELEUM/TOSB,deleumHQ_SSO
DELEUM/TRACK-IT! TECHNICIANS,deleumHQ_SSO
DELEUM/TSOSB.SENAWANG.RECRUITMENT,deleumHQ_SSO
DELEUM/TSSB-MANAGEMENT,deleumHQ_SSO
DELEUM/TSSB.MIRI.RECRUITMENT,deleumHQ_SSO
DELEUM/TURBO FINANCE,deleumHQ_SSO
DELEUM/TURBO PROJECT,deleumHQ_SSO
DELEUM/TURBO SALES,deleumHQ_SSO
DELEUM/TURBO SERVICES,deleumHQ_SSO
DELEUM/USERS,deleumHQ_SSO
DELEUM/WINDOWS AUTHORIZATION ACCESS GROUP,deleumHQ_SSO
DELEUM/WINRMREMOTEWMIUSERS__,deleumHQ_SSO
DELEUM/WSUS ADMINISTRATORS,deleumHQ_SSO
DELEUM/WSUS REPORTERS,deleumHQ_SSO
